id,winery,variety,province,country,points,price
444,Señorío de Sotillo,Tempranillo Blend,Northern Spain,Spain,87,15.0
445,Vale,Tempranillo,Idaho,US,87,38.0
446,Portal del Montsant,Red Blend,Catalonia,Spain,87,28.0
447,La Collina dei Lecci,Sangiovese,Tuscany,Italy,87,52.0
448,Fattoria La Lecciaia,Sangiovese,Tuscany,Italy,87,58.0
449,Ferrero,Sangiovese,Tuscany,Italy,87,60.0
450,Colinas do Douro,Rosé,Douro,Portugal,86,15.0
451,Latium di Morini,White Blend,Veneto,Italy,86,15.0
452,Lawer,Chardonnay,California,US,86,26.0
453,Hawk Watch Winery,Syrah,California,US,86,32.0
454,Falua,Portuguese Red,Tejo,Portugal,86,10.0
455,Finca Las Moras,Sauvignon Blanc,Other,Argentina,86,10.0
456,The Naked Grape,Moscato,California,US,86,18.0
457,Ramos-Pinto,Portuguese White,Douro,Portugal,86,12.0
458,Obelisco Estate,Rosé,Washington,US,86,35.0
459,Orsi Family Vineyards,Aglianico,California,US,86,34.0
460,Bota Box,Malbec,Mendoza Province,Argentina,86,23.0
461,Bouchard Finlayson,Sauvignon Blanc,Walker Bay,South Africa,86,20.0
462,Winc,Cabernet Sauvignon,California,US,86,31.0
463,Cass,Viognier,California,US,86,24.0
464,Castle Rock,Merlot,Washington,US,86,12.0
465,Angeline,Pinot Noir,California,US,86,18.0
466,Domaine de Lamothe,White Blend,Southwest France,France,86,10.0
467,Don Miguel Gascón,Malbec,Mendoza Province,Argentina,86,15.0
468,Eberle,Chardonnay,California,US,86,24.0
469,Finca la Malena,Torrontés,Mendoza Province,Argentina,86,14.0
470,Firestone,Sauvignon Blanc,California,US,86,14.0
471,Companhia das Quintas,Portuguese Red,Alentejano,Portugal,86,15.0
472,DeLorimier,Primitivo,California,US,86,38.0
473,Global Wines,Touriga Nacional,Dão,Portugal,86,13.0
474,Guenoc,Pinot Noir,California,US,86,12.0
475,Hawk Watch Winery,Red Blend,California,US,86,32.0
476,Lionel Osmin & Cie,Semillon-Sauvignon Blanc,Southwest France,France,86,15.0
477,Orsi Family Vineyards,Barbera,California,US,86,28.0
478,Quinta do Arrobe,Portuguese Red,Tejo,Portugal,86,
479,Quinta Nova de Nossa Senhora do Carmo,Portuguese Rosé,Douro,Portugal,86,30.0
480,Foursight,Pinot Noir,California,US,89,49.0
481,Boutari,Agiorgitiko,Nemea,Greece,89,17.0
482,Les Vignobles Foncalieu,Grenache-Syrah,Rhône Valley,France,89,11.0
483,Marchesi de' Frescobaldi,Sangiovese,Tuscany,Italy,89,43.0
484,Domaine Rotier,Red Blend,Southwest France,France,89,19.0
485,Domaine Rotier,White Blend,Southwest France,France,89,28.0
486,Dr. Pauly Bergweiler,Riesling,Mosel,Germany,89,26.0
487,Cave du Vin Blanc de Morgex et de la Salle,Prié Blanc,Italy Other,Italy,89,
488,Aubichon Cellars,Chardonnay,Oregon,US,89,35.0
489,Boëté,Bordeaux-style Red Blend,California,US,89,30.0
490,Castellare di Castellina,Cabernet Sauvignon,Tuscany,Italy,89,55.0
491,Château Bouissel,Negrette,Southwest France,France,89,
492,Anam Cara,Pinot Noir,Oregon,US,89,46.0
493,Carden,Pinot Noir,Oregon,US,89,50.0
494,Carhartt Vineyard,Red Blend,California,US,89,43.0
495,Quinta da Romaneira,Syrah,Duriense,Portugal,89,45.0
496,Rideau,Syrah,California,US,89,39.0
497,Tenuta di Trecciano,Red Blend,Tuscany,Italy,89,30.0
498,Terre del Marchesato,Cabernet Sauvignon,Tuscany,Italy,89,45.0
499,Vega Escal,Red Blend,Catalonia,Spain,89,23.0
500,M. Chapoutier,Grenache-Syrah,Rhône Valley,France,89,15.0
